consumption_live,lat,lng,speed_kmh
0.0,50.528665333333336,18.092185166666667,24.2
0.0,50.528664166666665,18.092147333333333,24.2
0.0,50.52866366666667,18.0921285,24.1
0.0,50.52866266666667,18.092090833333334,24.1
0.0,50.52866216666666,18.092072,24.1
0.0,50.5286615,18.092034333333334,24.0
0.0,50.528661166666666,18.0920155,24.0
0.0,50.52866066666667,18.091996666666667,24.0
0.0,50.52866,18.091959,24.0
0.0,50.5286595,18.091940333333334,24.0
0.0,50.52865833333333,18.091884,23.9
0.0,50.528658,18.091865333333335,23.9
0.0,50.528657333333335,18.091828,23.8
0.0,50.528656833333336,18.0918095,23.7
0.0,50.5286565,18.091790833333334,23.7
0.0,50.52865533333333,18.091753833333332,23.6
0.0,50.5286545,18.0917355,23.6
0.0,50.52865283333333,18.091698666666666,23.5
0.0,50.528652,18.0916805,23.4
0.0,50.528650999999996,18.091662166666666,23.4
0.0,50.52864866666667,18.09162583333333,23.3
0.0,50.52864616666667,18.091589833333334,23.1
0.0,50.5286435,18.091553833333332,23.0
0.0,50.528642166666664,18.091536,23.0
0.0,50.528640833333334,18.091518166666667,22.9
0.0,50.52863833333333,18.0914825,22.8
0.0,50.52863716666667,18.091464666666667,22.8
0.0,50.528634833333335,18.091429333333334,22.7
4.38,50.528633666666664,18.091411666666666,22.7
4.08,50.528631833333336,18.091376,22.8
3.78,50.528631,18.091357833333333,23.3
3.61,50.5286305,18.091339333333334,23.7
2.62,50.5286295,18.091301,24.7
2.62,50.528629333333335,18.091281333333335,25.1
0.0,50.52862916666667,18.091241666666665,25.3
0.0,50.5286295,18.091202166666665,25.2
0.0,50.52863,18.0911825,25.2
0.0,50.5286315,18.091143,25.2
0.0,50.528634,18.09110383333333,25.2
0.0,50.528635666666666,18.09108416666667,25.2
0.0,50.5286375,18.091064666666668,25.2
0.0,50.52864183333333,18.091025833333333,25.2
0.0,50.52864433333333,18.0910065,25.1
0.0,50.528647,18.090987333333334,25.1
0.0,50.528653166666665,18.090949166666668,25.1
0.0,50.52865666666667,18.090930333333333,25.1
0.0,50.52866433333333,18.090893,25.0
0.0,50.5286685,18.0908745,25.1
0.0,50.528682,18.0908195,25.1
0.0,50.528687166666664,18.0908015,25.1
0.0,50.528698166666665,18.09076616666667,25.1
0.0,50.528704,18.090748833333333,25.1
0.0,50.52871,18.090731666666667,25.2
0.0,50.528723,18.090697833333333,25.2
0.0,50.52872983333334,18.090681166666666,25.3
0.0,50.52874416666667,18.090648666666667,25.3
0.0,50.528751666666665,18.090632833333334,25.3
0.0,50.5287595,18.090617166666668,25.3
0.0,50.5287845,18.0905725,25.3
0.0,50.52879333333333,18.0905585,25.3
0.0,50.528811833333336,18.0905315,25.4
0.0,50.5288215,18.090518833333334,25.3
0.0,50.52883166666667,18.090506666666666,25.3
0.0,50.5288525,18.090484333333333,25.3
0.0,50.528863333333334,18.090474166666667,25.3
0.0,50.52888566666667,18.090455666666667,25.3
0.0,50.528908666666666,18.0904395,25.3
0.0,50.52892033333333,18.090432333333332,25.2
0.0,50.528944333333335,18.090420166666668,25.2
0.0,50.52895633333333,18.090415,25.1
0.0,50.5289685,18.090410333333335,25.1
0.0,50.528993166666666,18.090403,25.0
0.0,50.5290055,18.090400166666665,25.0
0.0,50.529017833333334,18.090398,25.0
0.0,50.529042833333335,18.090395666666666,25.0
0.0,50.52906766666667,18.090395833333332,24.9
0.0,50.5290925,18.090398333333333,24.9
0.0,50.529104833333335,18.0904005,24.9
0.0,50.529117166666666,18.09040316666667,24.9
0.0,50.5291415,18.09041,24.8
0.0,50.5291535,18.09041433333333,24.8
0.0,50.52917733333334,18.0904245,24.7
0.0,50.52918916666667,18.090430166666668,24.7
0.0,50.529200833333334,18.090436333333333,24.7
0.0,50.529224,18.0904495,24.6
0.0,50.52924683333333,18.090463333333332,24.6
0.0,50.5292695,18.090477666666665,24.5
0.0,50.52928083333333,18.090485,24.5
0.0,50.5293035,18.090499833333332,24.5
0.0,50.52931483333333,18.090507333333335,24.5
0.0,50.529326,18.090514833333334,24.4
0.0,50.5293485,18.09053,24.4
0.0,50.529359666666664,18.090537666666666,24.4
0.0,50.529382,18.090553166666666,24.3
0.0,50.529393,18.090561,24.4
0.0,50.529404166666666,18.090568833333332,24.3
0.0,50.52942633333333,18.090584833333335,24.4
0.0,50.529448333333335,18.090601,24.3
0.0,50.52947016666667,18.0906175,24.3
0.0,50.52948116666666,18.090625833333334,24.3
0.0,50.529492166666664,18.090634333333334,24.3
0.0,50.52951383333333,18.090651333333334,24.3
0.0,50.52952466666667,18.090659833333333,24.3
0.0,50.529546333333336,18.090677166666666,24.3
0.0,50.52955716666666,18.0906855,24.2
0.0,50.529568166666664,18.090694,24.3
0.0,50.52959,18.0907105,24.2
0.0,50.52960083333333,18.090718666666668,24.2
0.0,50.529622833333335,18.090734666666666,24.1
0.0,50.529644833333336,18.0907505,24.1
0.0,50.52966683333333,18.090765833333332,24.1
0.0,50.52967783333333,18.0907735,24.1
0.0,50.52968883333333,18.090781,24.1
0.0,50.529711,18.090796,24.1
