distance_m,speed_kmh,engine,elevation_m,corner_cap_kmh
521.9,24.38,0,205.61,55.0
522.9,24.36,0,205.61,55.0
523.9,24.35,0,205.60,55.0
524.9,24.35,0,205.60,55.0
525.9,24.34,0,205.60,55.0
526.9,24.36,0,205.59,55.0
527.9,24.36,0,205.58,55.0
528.9,24.36,0,205.58,55.0
529.9,24.34,0,205.58,55.0
530.9,24.34,0,205.58,55.0
531.9,24.33,0,205.57,55.0
532.9,24.32,0,205.57,55.0
533.9,24.32,0,205.57,55.0
534.9,24.32,0,205.56,55.0
535.9,24.33,0,205.56,55.0
536.9,24.34,0,205.55,55.0
537.9,24.33,0,205.55,55.0
538.9,24.34,0,205.54,55.0
539.9,24.34,0,205.54,55.0
540.9,24.34,0,205.53,55.0
541.9,24.34,0,205.53,55.0
542.9,24.33,0,205.53,55.0
543.9,24.32,0,205.52,55.0
544.9,24.30,0,205.53,55.0
545.9,24.28,0,205.52,55.0
546.9,24.28,0,205.52,55.0
547.9,24.27,0,205.52,55.0
548.9,24.26,0,205.52,55.0
549.9,24.26,0,205.51,55.0
550.9,24.25,0,205.51,55.0
551.9,24.25,0,205.50,55.0
552.9,24.25,0,205.50,55.0
553.9,24.26,0,205.49,55.0
554.9,24.27,0,205.49,55.0
555.9,24.27,0,205.48,55.0
556.9,24.27,0,205.48,55.0
557.9,24.26,0,205.48,55.0
558.9,24.25,0,205.47,55.0
559.9,24.26,0,205.47,55.0
560.9,24.27,0,205.46,55.0
561.9,24.27,0,205.46,55.0
562.9,24.26,0,205.46,55.0
563.9,24.25,0,205.45,55.0
564.9,24.24,0,205.45,55.0
565.9,24.23,0,205.45,55.0
566.9,24.23,0,205.45,55.0
567.9,24.23,0,205.44,55.0
568.9,24.21,0,205.44,55.0
569.9,24.21,0,205.44,55.0
570.9,24.20,0,205.43,55.0
571.9,24.18,0,205.43,55.0
572.9,24.20,0,205.43,55.0
573.9,24.22,0,205.42,55.0
574.9,24.23,0,205.41,55.0
575.9,24.23,0,205.41,55.0
576.9,24.23,0,205.40,55.0
577.9,24.25,0,205.40,55.0
578.9,24.26,0,205.39,55.0
579.9,24.27,0,205.38,55.0
580.9,24.30,0,205.37,55.0
581.9,24.30,0,205.37,55.0
582.9,24.29,0,205.37,55.0
583.9,24.30,0,205.36,55.0
584.9,24.30,0,205.36,55.0
585.9,24.31,0,205.35,55.0
586.9,24.31,0,205.34,55.0
587.9,24.31,0,205.34,55.0
588.9,24.30,0,205.34,55.0
589.9,24.29,0,205.34,55.0
590.9,24.28,0,205.33,55.0
591.9,24.27,0,205.33,55.0
592.9,24.26,0,205.33,55.0
